Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AutoHealing,Firefox 69.0,,,2019-11-06 19:05:12,2019-11-06 19:06:51,1m - 38.515s,INCOMPLETE
,,,,,,,
Test Cases/Auto Healing/EOL_Global_Footer_TC011,Firefox 69.0,"""Verify the E! News Logo is actionable and reloads the Front Door while 
maintaining edition integrity""",,2019-11-06 19:05:13,2019-11-06 19:06:51,1m - 37.932s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-11-06 19:05:13,2019-11-06 19:05:49,35.285s,PASSED
maximizeWindow(),Firefox 69.0,,,2019-11-06 19:05:49,2019-11-06 19:05:49,0.064s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Firefox 69.0,,,2019-11-06 19:05:49,2019-11-06 19:06:06,16.997s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Entertainment/Page_Entertainment/a_No Thanks""))",Firefox 69.0,,,2019-11-06 19:06:06,2019-11-06 19:06:08,2.115s,PASSED
delay(5),Firefox 69.0,,,2019-11-06 19:06:08,2019-11-06 19:06:13,5.044s,PASSED
"verifyElementPresent(findTestObject(""Footer_OR/Page_Entertainment/Page_Entertainment/a_Promoted Links_footer__enews-logo footer__enews-logo--us""), 0)",Firefox 69.0,Verify whether the footer logo present,,2019-11-06 19:06:13,2019-11-06 19:06:29,15.626s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Entertainment/Page_Entertainment/a_Promoted Links_footer__enews-logo footer__enews-logo--us""))",Firefox 69.0,,,2019-11-06 19:06:29,2019-11-06 19:06:41,12.858s,PASSED
delay(5),Firefox 69.0,,,2019-11-06 19:06:41,2019-11-06 19:06:46,5.017s,PASSED
closeBrowser(),Firefox 69.0,,,2019-11-06 19:06:46,2019-11-06 19:06:51,4.460s,PASSED
